doc,sentence,token,pos,prev,next,tag
doc:7,279,"menukarkan,",PUNCT,"menyewakan,","menggadaikan,",I_CRIA
doc:7,280,"menggadaikan,",PUNCT,"menukarkan,","mengangkut,",I_CRIA
doc:7,281,"mengangkut,",PUNCT,"menggadaikan,","menyimpan,",I_CRIA
doc:7,282,"menyimpan,",PUNCT,"mengangkut,",atau,I_CRIA
doc:7,283,atau,CCONJ,"menyimpan,",menyembunyikan,I_CRIA
doc:7,284,menyembunyikan,VERB,atau,sesuatu,I_CRIA
doc:7,285,sesuatu,PRON,menyembunyikan,"benda,",I_CRIA
doc:7,286,"benda,",PUNCT,sesuatu,yang,I_CRIA
doc:7,287,yang,PRON,"benda,",diketahui,I_CRIA
doc:7,288,diketahui,VERB,yang,atau,I_CRIA
doc:7,289,atau,CCONJ,diketahui,sepatutnya,I_CRIA
doc:7,290,sepatutnya,NOUN,atau,harus,I_CRIA
doc:7,291,harus,AUX,sepatutnya,diduga,I_CRIA
doc:7,292,diduga,VERB,harus,bahwa,I_CRIA
doc:7,293,bahwa,SCONJ,diduga,diperoleh,I_CRIA
doc:7,294,diperoleh,VERB,bahwa,dari,I_CRIA
doc:7,295,dari,ADP,diperoleh,kejahatan,I_CRIA
doc:7,296,kejahatan,NOUN,dari,penadahan”,I_CRIA
doc:7,297,penadahan”,PUNCT,kejahatan,melanggar,I_CRIA
doc:7,298,melanggar,VERB,penadahan”,pasal,I_CRIA
doc:7,299,pasal,NOUN,melanggar,480,B_ARTV
doc:7,300,480,NUM,pasal,ke,I_ARTV
doc:7,301,ke,ADP,480,1,I_ARTV
doc:7,302,1,NUM,ke,kuhp,I_ARTV
doc:7,303,kuhp,NOUN,1,6,E_ARTV
doc:7,304,6,NUM,kuhp,(enam),B_PENA
doc:7,305,(enam),PUNCT,6,bulan,I_PENA
doc:7,306,bulan,NOUN,(enam),"“membeli,",E_PENA
doc:7,307,"“membeli,",PUNCT,bulan,"menyewa,",B_CRIA
doc:7,308,"menyewa,",PUNCT,"“membeli,","menukar,",I_CRIA
doc:7,309,"menukar,",PUNCT,"menyewa,",menerima,I_CRIA
doc:7,310,menerima,VERB,"menukar,","gadai,",I_CRIA
doc:7,311,"gadai,",PUNCT,menerima,menerima,I_CRIA
doc:7,312,menerima,VERB,"gadai,","hadiah,",I_CRIA
doc:7,313,"hadiah,",PUNCT,menerima,atau,I_CRIA
doc:7,314,atau,CCONJ,"hadiah,",untuk,I_CRIA
doc:7,315,untuk,SCONJ,atau,menarik,I_CRIA
doc:7,316,menarik,VERB,untuk,"keuntungan,",I_CRIA
doc:7,317,"keuntungan,",PUNCT,menarik,"menjual,",I_CRIA
doc:7,318,"menjual,",PUNCT,"keuntungan,","menyewakan,",I_CRIA
doc:7,319,"menyewakan,",PUNCT,"menjual,","menukarkan,",I_CRIA
doc:7,320,"menukarkan,",PUNCT,"menyewakan,","menggadaikan,",I_CRIA
doc:7,321,"menggadaikan,",PUNCT,"menukarkan,","mengangkut,",I_CRIA
doc:7,322,"mengangkut,",PUNCT,"menggadaikan,","menyimpan,",I_CRIA
doc:7,323,"menyimpan,",PUNCT,"mengangkut,",atau,I_CRIA
doc:7,324,atau,CCONJ,"menyimpan,",menyembunyikan,I_CRIA
doc:7,325,menyembunyikan,VERB,atau,sesuatu,I_CRIA
doc:7,326,sesuatu,PRON,menyembunyikan,"benda,",I_CRIA
doc:7,327,"benda,",PUNCT,sesuatu,yang,I_CRIA
doc:7,328,yang,PRON,"benda,",diketahui,I_CRIA
doc:7,329,diketahui,VERB,yang,atau,I_CRIA
doc:7,330,atau,CCONJ,diketahui,sepatutnya,I_CRIA
doc:7,331,sepatutnya,NOUN,atau,harus,I_CRIA
doc:7,332,harus,AUX,sepatutnya,diduga,I_CRIA
doc:7,333,diduga,VERB,harus,bahwa,I_CRIA
doc:7,334,bahwa,SCONJ,diduga,diperoleh,I_CRIA
doc:7,335,diperoleh,VERB,bahwa,dari,I_CRIA
doc:7,336,dari,ADP,diperoleh,kejahatan,I_CRIA
doc:7,337,kejahatan,NOUN,dari,penadahan”,I_CRIA
doc:7,338,penadahan”,PUNCT,kejahatan,melanggar,I_CRIA
doc:7,339,melanggar,VERB,penadahan”,pasal,I_CRIA
doc:7,340,pasal,NOUN,melanggar,480,B_ARTV
doc:7,341,480,NUM,pasal,ke,I_ARTV
doc:7,342,ke,ADP,480,1,I_ARTV
doc:7,343,1,NUM,ke,kuhp,I_ARTV
doc:7,344,kuhp,NOUN,1,haidir,E_ARTV
doc:7,345,haidir,PROPN,kuhp,rahman,B_PROS
doc:7,346,rahman,PROPN,haidir,s.h,I_PROS
doc:7,347,s.h,PUNCT,rahman,musemmil,E_REGI
doc:7,348,musemmil,PUNCT,s.h,“percobaan,U_DEFN
doc:8,349,“percobaan,NOUN,musemmil,pencurian,B_CRIA
doc:8,350,pencurian,NOUN,“percobaan,dengan,I_CRIA
doc:8,351,dengan,ADP,pencurian,kekerasan”,I_CRIA
doc:8,352,kekerasan”,PUNCT,dengan,7,E_CRIA
doc:8,353,7,NUM,kekerasan”,(tujuh),B_PENA
doc:8,354,(tujuh),PUNCT,7,bulan,I_PENA
doc:8,355,bulan,NOUN,(tujuh),“percobaan,E_PENA
doc:8,356,“percobaan,NOUN,bulan,pencurian,B_CRIA
doc:8,357,pencurian,NOUN,“percobaan,dengan,I_CRIA
doc:8,358,dengan,ADP,pencurian,kekerasan”,I_CRIA
doc:8,359,kekerasan”,PUNCT,dengan,dewi,E_CRIA
doc:8,360,dewi,NOUN,kekerasan”,ika,B_PROS
doc:8,361,ika,PROPN,dewi,agustina,I_PROS
doc:8,362,agustina,PROPN,ika,s.h,I_PROS
doc:8,363,s.h,PUNCT,agustina,achmad,E_REGI
doc:8,364,achmad,PROPN,s.h,budi,B_DEFN
doc:8,365,budi,NOUN,achmad,utomo,I_DEFN
doc:8,366,utomo,PROPN,budi,"""pencurian",E_DEFN
doc:9,367,"""pencurian",NOUN,utomo,dengan,B_CRIA
doc:9,368,dengan,ADP,"""pencurian","pemberatan""",I_CRIA
doc:9,369,"pemberatan""",PUNCT,dengan,2,E_CRIA
doc:9,370,2,NUM,"pemberatan""",(dua),B_PENA
doc:9,371,(dua),PUNCT,2,tahun,I_PENA
doc:9,372,tahun,NOUN,(dua),“pencurian,E_PENA
doc:9,373,“pencurian,NOUN,tahun,dalam,B_PUNI
doc:9,374,dalam,ADP,“pencurian,keadaan,I_PUNI
doc:9,375,keadaan,NOUN,dalam,memberatkan”,I_PUNI
doc:9,376,memberatkan”,PUNCT,keadaan,umu,E_PUNI
doc:9,377,umu,PROPN,memberatkan”,lathiefah,B_PROS
doc:9,378,lathiefah,PUNCT,umu,s.h,I_PROS
doc:9,379,s.h,PUNCT,lathiefah,suparman,E_REGI
doc:9,380,suparman,PROPN,s.h,bin,B_DEFN
doc:9,381,bin,PROPN,suparman,fadlillah,I_DEFN
doc:9,382,fadlillah,PUNCT,bin,“,E_DEFN
doc:10,383,“,PUNCT,fadlillah,bersama,B_CRIA
doc:10,384,bersama,ADP,“,sama,I_CRIA
doc:10,385,sama,ADJ,bersama,melakukan,I_CRIA
doc:10,386,melakukan,VERB,sama,pembunuhan,I_CRIA
doc:10,387,pembunuhan,NOUN,melakukan,yang,I_CRIA
doc:10,388,yang,PRON,pembunuhan,direncanakan,I_CRIA
doc:10,389,direncanakan,VERB,yang,terlebih,I_CRIA
doc:10,390,terlebih,ADV,direncanakan,"dahulu”,",I_CRIA
doc:10,391,"dahulu”,",PUNCT,terlebih,1,E_CRIA
doc:10,392,1,NUM,"dahulu”,",(satu),I_ARTV
doc:10,393,(satu),PUNCT,1,tahun,I_PENA
doc:10,394,tahun,NOUN,(satu),dengan,I_PENA
doc:10,395,dengan,ADP,tahun,“turut,E_PENA
doc:10,396,“turut,ADV,dengan,serta,B_PUNI
doc:10,397,serta,CCONJ,“turut,melakukan,I_PUNI
doc:10,398,melakukan,VERB,serta,pembunuhan,I_CRIA
doc:10,399,pembunuhan,NOUN,melakukan,berencana,I_CRIA
doc:10,400,berencana,VERB,pembunuhan,“,I_PUNI
doc:10,401,“,PUNCT,berencana,benny,B_CRIA
doc:10,402,benny,PROPN,“,rory,B_PROS
doc:10,403,rory,PROPN,benny,wijaya,I_PROS
doc:10,404,wijaya,PROPN,rory,sh,I_PROS
doc:10,405,sh,PROPN,wijaya,suharis,E_REGI
doc:10,406,suharis,PUNCT,sh,als,B_DEFN
doc:10,407,als,PROPN,suharis,h.ris,I_DEFN
doc:10,408,h.ris,PUNCT,als,tempat,I_DEFN
doc:10,409,tempat,NOUN,h.ris,lahir,I_DEFN
doc:10,410,lahir,VERB,tempat,“penggelapan”,E_DEFN
doc:11,411,“penggelapan”,PUNCT,lahir,2,U_CRIA
doc:11,412,2,NUM,“penggelapan”,(dua),I_PENA
doc:11,413,(dua),PUNCT,2,tahun,I_PENA
doc:11,414,tahun,NOUN,(dua),2,I_PENA
doc:11,415,2,NUM,tahun,(dua),I_PENA
doc:11,416,(dua),PUNCT,2,bulan,I_PENA
doc:11,417,bulan,NOUN,(dua),“penggelapan,E_PENA
doc:11,418,“penggelapan,NOUN,bulan,secara,B_PUNI
doc:11,419,secara,ADP,“penggelapan,bersama-sama”,I_PUNI
doc:11,420,bersama-sama”,PUNCT,secara,anjar,E_PUNI
doc:11,421,anjar,PROPN,bersama-sama”,purbo,B_PROS
doc:11,422,purbo,PROPN,anjar,sasongko,I_PROS
doc:11,423,sasongko,PROPN,purbo,s.h.,I_PROS
doc:11,424,s.h.,PUNCT,sasongko,m.h,E_REGI
doc:11,425,m.h,PUNCT,s.h.,pudjianti,E_PROS
doc:11,426,pudjianti,PUNCT,m.h,alrasid,B_DEFN
doc:11,427,alrasid,PUNCT,pudjianti,binti,I_DEFN
doc:11,428,binti,PROPN,alrasid,rasid,I_DEFN
doc:11,429,rasid,PROPN,binti,tempat,I_DEFN
doc:11,430,tempat,NOUN,rasid,lahir,I_DEFN
doc:11,431,lahir,VERB,tempat,slamet,E_DEFN
